train_no,type,is_express,ms,origin,dest,start_time,end_time,duration_str,dist_km,stops_count,skipped_count,speed_kmh,sdi,note
417,普悠瑪,True,,知本,樹林,11:04,11:04,0時00分,0.0,18,34,0.0,0.0,
419,自強3000,True,,臺東,樹林,11:47,16:37,4時50分,278.0,20,28,57.52,7.19,
421,自強3000,True,,臺東,樹林,13:00,17:10,4時10分,278.0,9,39,66.72,3.24,親子座
223,自強3000,True,,花蓮,樹林,14:51,17:33,2時42分,0.0,7,20,0.0,0.0,逢週五、日行駛。
423,自強3000,True,,新左營,樹林,13:20,13:20,0時00分,0.0,34,35,0.0,0.0,
231,太魯閣,True,,花蓮,樹林,16:45,19:25,2時40分,0.0,9,18,0.0,0.0,
431,自強3000,True,,新左營,樹林,15:10,15:10,0時00分,0.0,32,37,0.0,0.0,花東民眾實名優先購票班次
425,普悠瑪,True,,臺東,樹林,15:25,20:13,4時48分,278.0,16,32,57.92,5.76,逢週六行駛。
427,自強3000,True,,臺東,樹林,15:25,20:13,4時48分,278.0,16,32,57.92,5.76,逢週五、日行駛。親子座
233,太魯閣,True,,花蓮,樹林,18:02,20:41,2時39分,0.0,8,19,0.0,0.0,逢週日行駛。
21,普悠瑪,True,,臺東,樹林,16:25,21:06,4時41分,278.0,13,35,59.36,4.68,逢週五、日行駛。團體列車
235,普悠瑪,True,,花蓮,樹林,18:32,21:36,3時04分,0.0,18,9,0.0,0.0,
439,自強3000,True,,臺東,樹林,16:55,21:52,4時57分,278.0,21,27,56.16,7.55,親子座
441,自強3000,True,,新左營,樹林,17:46,17:46,0時00分,0.0,26,43,0.0,0.0,
237,普悠瑪,True,,花蓮,樹林,19:38,22:21,2時43分,0.0,10,17,0.0,0.0,逢週五、日行駛。
443,普悠瑪,True,,新左營,樹林,17:54,17:54,0時00分,0.0,19,50,0.0,0.0,逢週日行駛。
445,自強3000,True,,新左營,樹林,18:35,18:35,0時00分,0.0,37,32,0.0,0.0,親子座
447,普悠瑪,True,,臺東,樹林,20:00,00:32,4時32分,278.0,18,30,61.32,6.47,在松山跨日。
323,自強3000,True,,新左營,花蓮,21:16,21:16,0時00分,0.0,26,16,0.0,0.0,
3001,區間快,False,,潮州,臺東,05:52,08:23,2時31分,118.39999999999998,14,0,47.05,11.82,
3303,區間車車次TRAINNUMBER,False,,潮州,加祿,06:08,06:52,0時44分,24.599999999999966,5,0,33.55,20.33,
3003,區間快,False,,新左營,臺東,06:27,09:45,3時18分,74.89999999999998,19,1,22.7,25.37,
305,普悠瑪,True,,新左營,臺東,08:32,10:56,2時24分,74.89999999999998,9,11,31.21,12.02,逢週六行駛。
3005,區間快,False,山,臺中,臺東,08:54,11:42,2時48分,74.89999999999998,16,4,26.75,21.36,
727,莒光,True,,潮州,臺東,11:55,14:46,2時51分,118.39999999999998,14,0,41.54,11.82,
3021,區間快,False,,新左營,臺東,17:13,20:20,3時07分,74.89999999999998,16,4,24.03,21.36,
327,自強3000,True,,新左營,臺東,21:31,23:47,2時16分,74.89999999999998,12,8,33.04,16.02,
3310,區間車,False,,加祿,新左營,07:04,08:46,1時42分,18.900000000000034,12,0,11.12,63.49,
3006,區間快,False,,臺東,潮州,06:20,08:27,2時07分,118.39999999999998,14,0,55.94,11.82,
304,自強3000,True,,臺東,新左營,10:14,12:50,2時36分,74.89999999999998,14,7,28.81,18.69,
3018,區間快,False,,臺東,新左營,11:08,14:10,3時02分,74.89999999999998,18,3,24.69,24.03,
310,普悠瑪,True,,臺東,新左營,12:20,14:47,2時27分,74.89999999999998,10,11,30.57,13.35,逢週日行駛。
314,自強3000,True,,臺東,新左營,13:41,15:50,2時09分,74.89999999999998,10,11,34.84,13.35,
3028,區間快,False,,臺東,彰化,14:13,17:01,2時48分,74.89999999999998,17,4,26.75,22.7,
708,莒光,True,,臺東,新左營,15:17,18:44,3時27分,74.89999999999998,19,2,21.71,25.37,
3038,區間快,False,,臺東,新左營,17:00,20:16,3時16分,74.89999999999998,21,0,22.93,28.04,
